Designator,Mid X,Mid Y,Rotation,Layer
C1,108.7,-89.25,90.0,top
C2,146.0,-97.8,0.0,top
C3,106.6,-133.3,180.0,top
C4,145.532323,-133.3,0.0,top
D1,154.9,-139.875,90.0,top
J1,100.3,-143.9,0.0,top
J10,156.175,-89.35,180.0,top
J11,123.75,-109.175,90.0,top
J2,115.125,-73.225,270.0,top
J3,156.175,-82.725,180.0,top
J4,149.6,-73.175,90.0,top
J5,142.5,-73.225,270.0,top
J6,97.25,-78.65,0.0,top
J7,126.75,-73.2,180.0,top
J8,97.325,-124.3675,0.0,top
J9,123.75,-96.175,90.0,top
LB1,103.375,-118.1,180.0,top
LF1,103.475,-94.55,180.0,top
R1,155.9,-124.2,180.0,top
RB1,149.925,-110.5,0.0,top
RF1,149.925,-86.95,0.0,top
SW1,139.7985,-143.9,90.0,top
SW2,120.32275,-143.9,90.0,top
U1,126.75,-102.7775,0.0,top
U2,124.06,-125.4,0.0,top
